id,title,category,sub_category,caption,location,pages,description,keywords,dateNormalized,date,medium,size,creator,collection,provenance
TMI04015,Letter from E. Rosewater,memorabilia,wattles investigation,,,,"Aspersions on character. Letter to Clark Whitheck in Schenectady, New York, from Edward Rosewater. Omaha Bee Newspaper investigation of Gurdon W. Wattles. Mentions Electric Lighting Plant in  O'Neil, Nebraska.  1 sheet previously folded in sixths. Typed in blue ink on cream colored Omaha Bee stationary with black printing. Signed in black ink.",,1898-11-26,26 November 1898,typescript,8 1/2 x 10 15/16 in.,"Rosewater, Edward",Gurdon W. Wattles,Omaha Public Library
TMI04016,Letter to E. Rosewater,memorabilia,wattles investigation,,,,Aspersions on character. Letter to Edward Rosewater from Gurdon W. Wattles. Part of Omaha Bee Newspaper investigation. Wattles requests a copy of paper he read in Rosewater's office so that he can address its many mistatements of facts. 1 sheet previously folded in thirds. Handwritten in pencil on blue lined cream colored paper.,,1898-02-07,7 February 1898,manuscript,5 7/8 x 9 1/2 in.,"Wattles, Gurdon W.",Gurdon W. Wattles,Omaha Public Library
TMI04017,Telegram from G. C. Porter,memorabilia,wattles investigation,,,,"Aspersions on character. Telegram to C. R. Allder from G. C. Porter, in reference to Omaha Bee Newspaper investigation of Gurdon W.  Wattles. Requests information regarding Swederson notes.   1 sheet previously folded in quarters. Typed in blue ink on yellowed Western Union form printed with black ink.",,,,typescript,7 7/8 x 5 1/8 in.,"Porter, G. C.",Gurdon W. Wattles,Omaha Public Library
TMI04018,Telegram from G. C. Porter,memorabilia,wattles investigation,,,,"Aspersions on character. Telegram to C. R. Allder from G. C. Porter, in reference to Omaha Bee Newspaper investigation of Gurdon W.  Wattles. 1 sheet previously folded in quarters. Typed in blue ink on yellowed Western Union form printed with black ink.",,,,typescript,7 7/8 x 5 1/8 in.,"Porter, G. C.",Gurdon W. Wattles,Omaha Public Library
TMI04019,Letter from G. C. Porter,memorabilia,wattles investigation,,,3,"Aspersions on character. Letter to A. W. Saunders from G. C. Porter for Omaha Bee Newspaper investigation of Gurdon W. Wattles. 2 sheets previously folded in sixths. Handwritten in pencil on cream colored Park & Wilhite Real Estate, Loans and Insurance stationary with black printing.",,,,manuscript,8 1/4 x 10 3/4 in.,"Porter, G. C.",Gurdon W. Wattles,Omaha Public Library
TMI04020,Letter from John McHugh,memorabilia,wattles investigation,,,7,"Aspersions on character. Letter to Gurdon W. Wattles from John McHugh, cashier of State Bank of O'Neill. Recounts conversations with G. C. Porter of the Omaha Bee, warning Wattles that Edward Rosewater is investigating him. 7 sheets previously folded in thirds. Typed in black ink on State Bank of O'Neill, Nebraska stationary.",,1897-11-05,5 November 1897,typescript,8 5/16 x 10 7/8 in.,"McHugh, John",Gurdon W. Wattles,Omaha Public Library
TMI04021,Letter from A. U. Quint,memorabilia,wattles investigation,,,,"Aspersions on character. Letter to Gurdon W. Wattles from A. U. Quint regarding a conversation with G. C. Porter of the Omaha Bee Newspaper. 1 sheet previously folded in sixths.  Text reads as follows: Bankers
Mutual Casualty Co.
Manhattan Building
Des Moines, Iowa
Mar. 28-98.
G. W. Wattles, Essq.,
C/o Union National Bank
Omaha, Nebr.
Dear Sir:----
During the day yesterday I was called upon by Mr. G. C. Porter, of your city who gave me to understand that he was representing the Board of Directors, or a Committee of the Board of Directors of the Exposition Company, and was making inquiries concerning  your good self. He finally told me what seemed to be his idea of the situation. Of course, I knew nothing about the condition of things in any way. I took, occasion, however, to disabuse his mind of several idea that he seemed to be entertaining, and I can assure  you that the interview did not result in any way to your discredit. I have always felt somewhat inclined to extend a good word in favor of my friends in so far as circumstances permit, and the facts will warrant.
Will take great pleasure in accommodating you in any way possible, realizing that my efforts would be reciprocated.
Yours very truly,
A. U. Quint",,1898-03-28,28 March 1898,typescript,8 3/8 x 10 3/4 in.,"Quint, A. U.",Gurdon W. Wattles,Omaha Public Library
TMI04022,Letter from A. U. Quint,memorabilia,wattles investigation,,,,"Aspersions on character. Letter to Gordon W. Wattles from A. U. Quint, regarding  G. C. Porter's investigation of Wattles' character for the Omaha Bee Newspaper. References A. W. Swender. 1 sheet previously folded in sixths. Typed in blue ink on Bankers Mutual Casualty Co. of Des Moines, Iowa, stationary. Signature in black ink.",,1898-04-11,11 April 1898,typescript,8 3/8 x 10 3/4 in.,"Quint, A. U.",Gurdon W. Wattles,Omaha Public Library
TMI04023,Special Committee to Appoint a Director-General of the Exposition,memorabilia,administrative documents,,,,"Resolution to appoint a committee to investigate and report on the necessity and advisability of appointing a Director-General for the Exposition. The committe will consist of Koutze, Bidwell, and Arthur C. Smith.  1 sheet previously folded in quarters. Typed in black ink on yellow paper.",,,,typescript,8 3/16 x 10 13/16 in.,,,Omaha Public Library
TMI04024,Letter from Gurdon W. Wattles,memorabilia,wattles investigation,,,,Aspersions on character. Letter to H. Kountze from Gurdon W. Wattles. Requests copy of paper attesting to his character submitted to the committee.  1 sheet previously folded in twelfths. Typed in blue ink on Trans-Mississippi and International Exposition Stationary. Signed in black ink.,,1897-11-30,30 November 1897,typescript,8 7/16 x 10 15/16 in.,"Wattles, Gurdon W.",Gurdon W. Wattles,Omaha Public Library
