id,title,category,sub_category,caption,location,pages,description,keywords,dateNormalized,date,medium,size,creator,collection,provenance
TMI04126,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; City and State Officials; New Hampshire. 1 sheet previously folded in sixths.  Letter.,,1898-05-31,31 May 1898,manuscript,7 15/16 x 10 in.,"Ramsdell, George A.",,Omaha Public Library
TMI04127,Opening Exercises RSVP,memorabilia,invitations,,,2,Opening Day Invitations; City and State Officials; Massachusetts. 2 sheets previously folded in sixths.  Letter.,,1898-05-10,10 May 1898,typescript,8 1/8 x 10 1/8 in.,"Scott, Roger W.",,Omaha Public Library
TMI04128,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; City and State Officials; Colorado Governor. 1 sheet previously folded in sixths.  Letter.,,1898-05-18,18 March 1898,typescript,7 13/16 x 9 13/16 in.,"Adams, Alva",,Omaha Public Library
TMI04129,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; City and State Officials; Minnesota Governor. 1 sheet previously folded in sixths.  Letter.,,1898-05-10,10 May 1898,typescript,8 3/8 x 10 15/16 in.,"Clough, William",,Omaha Public Library
TMI04130,Opening Exercises RSVP,memorabilia,invitations,,,,"Opening Day Invitations; City and State Officials, Ohio Governor. 1 sheet previously folded in sixths. Letter.",,1898-05-09,9 May 1898,typescript,7 15/16 x 10 5/8 in.,"Bushnell, Asa S.",,Omaha Public Library
TMI04131,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; City and State Officials; New Mexico Governor. 1 sheet previously folded in sixths. Letter.,,1898-05-10,10 May 1898,typescript,7 15/16 x 9 13/16 in.,"Otero, Miguel A.",,Omaha Public Library
TMI04132,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; City and State Officials; Ohio Governor. 1 sheet previously folded in sixths. Letter.,,1898-05-28,28 May 1898,typescript,8 x 10 5/8 in.,"Bushnell, Asa S.",,Omaha Public Library
TMI04133,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; President McKinley. 1 sheet previously folded in thirds.  Letter.,,1898-05-30,30 May 1898,typescript,5 5/8 x 9 1/16 in.,"Porter, John A.",,Omaha Public Library
TMI04134,Opening Exercises RSVP,memorabilia,invitations,,,2,Opening Day Invitations; President McKinley. 2 sheets previously folded in thirds.  Letter.,,1898-06-01,1 June 1898,typescript,5 5/8 x 9 1/16 in.,"Porter, John A.",,Omaha Public Library
TMI04135,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Treasury Department. 1 sheet previously folded in thirds.  Letter.,,1898-06-01,1 June 1898,typescript,5 3/16 x 8 1/4 in.,"Howell, William B.",,Omaha Public Library
TMI04136,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Custodian. 1 sheet previously folded in thirds.  Letter.,,1898-05-20,20 May 1898,manuscript,5 x 7 7/8 in.,"Martin, Euclid",,Omaha Public Library
TMI04137,Thank you for Complimentary Passes from Postmaster General,memorabilia,invitations,,,,Invitations to Exposition; Postmaster General. 1 sheet previously folded in half.  Letter.,,1898-06-02,2 June 1898,typescript,4 13/16 x 7 13/16 in.,"Smith, Charles Emory",,Omaha Public Library
TMI04138,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Post Office Department. 1 sheet previously folded in half.  Letter.,,1898-06-01,1 June 1898,typescript,5 3/16 x 8 in.,"Heath, Perry S.",,Omaha Public Library
TMI04139,Thank you for Complimentary Passes from Secretary of State of Washington,memorabilia,invitations,,,,Invitations to Exposition; Secretary of State Hay. 1 sheet previously folded in half.  Letter.,,1898-06-02,2 June 1898,typescript,4 7/8 x 7 7/8 in.,,,Omaha Public Library
TMI04140,Thank you for Complimentary Passes from Washington State,memorabilia,invitations,,,,Invitations to Exposition; Department of State. 1 sheet previously folded in half.  Letter.,,1898-05-31,31 May 1898,typescript,4 7/8 x 7 7/8 in.,"Adee, Alvey A.",,Omaha Public Library
TMI04141,Thank you for Complimentary Passes from War Department,memorabilia,invitations,,,,Invitations to Exposition; War Department. 1 sheet previously folded in half.  Letter.,,1898-05-30,30 May 1898,typescript,5 3/16 x 7 7/8 in.,,,Omaha Public Library
TMI04142,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Secretary of Agriculture. 1 sheet previously folded in thirds.  Letter.,,1898-05-31,31 May 1898,typescript,7 15/16 x 9 15/16 in.,"Wilson, James",,Omaha Public Library
TMI04143,Thank you for Complimentary Passes from Navy Department,memorabilia,invitations,,,,Invitations to Exposition; Secretary of Navy. 1 sheet previously folded in sixths.  Letter.,,1898-05-31,31 May 1898,typescript,7 15/16 x 10 7/16 in.,"Long, John D.",,Omaha Public Library
TMI04144,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; State Department. 1 sheet previously folded in thirds.  Letter.,,1898-06-01,1 June 1898,typescript,7 13/16 x 9 15/16 in.,,,Omaha Public Library
TMI04145,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U.S. Geological Survey. 1 sheet previously folded in thirds.  Letter.,,1898-05-25,25 May 1898,typescript,7 13/16 x 10 3/8 in.,"Gannett, Henry",,Omaha Public Library
TMI04146,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Smithsonian Institution. 1 sheet previously folded in thirds. Letter.,,1898-05-16,16 May 1898,typescript,8 x 10 7/16 in.,,,Omaha Public Library
TMI04147,Thank you for Complimentary Passes from Treasury Department,memorabilia,invitations,,,,Invitations to Exposition; Treasury Department. 1 sheet previously folded in sixths.  Letter.,,1898-06-06,6 June 1898,typescript,7 15/16 x 9 7/8 in.,"Vanderlip, Frank A.",,Omaha Public Library
TMI04148,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Mexican Officials; Governor. 1 sheet previously folded in quarters.  Letter.,,1898-05-24,24 May 1898,typescript,7 13/16 x 9 7/8 in.,,,Omaha Public Library
TMI04149,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Mexican Officials; Veracruz Governor. 1 sheet previously folded in quarters; Text in Spanish.  Letter.,,1898-05-24,24 May 1898,typescript,8 9/16 x 11 in.,,,Omaha Public Library
TMI04150,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Mexican Officials; Hidalgo Governor. 1 sheet previously folded in quarters; Text in Spanish.  Letter.,,1898-05-24,24 May 1898,manuscript,8 1/4 x 10 1/2 in.,,,Omaha Public Library
TMI04151,Opening Exercises RSVP,memorabilia,invitations,,,2,Opening Day Invitations; Canadian Officials. 1 sheet previously folded in quarters.  Letter.,,1898-05-14,14 May 1898,manuscript,9 15/16 x 8 1/16 in.,,,Omaha Public Library
TMI04152,Opening Exercises RSVP,memorabilia,invitations,,,2,Opening Day Invitations; Canadian Officials; Canada Postmaster General. 1 sheet previously folded in half.  Letter.,,1898-05-10,10 May 1898,manuscript,5 x 8 in.,,,Omaha Public Library
TMI04153,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Canadian Officials; Minister of Inland Revenue. 1 sheet previously folded in quarters.  Letter.,,1898-05-12,12 May 1898,manuscript,7 5/16 x 8 15/16 in.,,,Omaha Public Library
TMI04154,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Canadian Officials; Militia and Defence Department. 1 sheet previously folded in thirds.  Letter.,,1898-05-10,10 May 1898,typescript,7 9/16 x 10 in.,,,Omaha Public Library
TMI04155,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Canadian Officials; Earl of Aberdeen. 1 sheet previously folded in thirds.  Letter.,,1898-03-10,41343,manuscript,7 7/8 x 10 in.,,,Omaha Public Library
TMI04156,Opening Exercises RSVP,memorabilia,invitations,,,,"Opening Day Invitations; Canadian Officials; Prince Edward Island Lt. Governor. 1 sheet previously folded in quarters, bottom of sheet torn.  Letter.",,1898-05-25,25 May 1898,manuscript,7 3/4 x 12 3/4 in.,"Howtan, George W.",,Omaha Public Library
TMI04157,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Representative. 1 sheet previously folded in thirds.  Letter.,,1898-05-10,10 May 1898,typescript,8 1/2 x 5 1/4 in.,"DeVries, Marion",,Omaha Public Library
TMI04158,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Representative - Nebraska. 1 sheet previously folded in sixths.  Letter.,,1898-05-30,30 May 1898,typescript,7 15/16 x 9 15/16 in.,"Strode, J. B.",,Omaha Public Library
TMI04159,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Representative. 1 sheet previously folded in sixths.  Letter.,,1898-05-10,10 May 1898,typescript,7 15/16 x 10 in.,"Northway, S. A.",,Omaha Public Library
TMI04160,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Representative - Iowa. 1 sheet previously folded in sixths.  Letter.,,1898-05-10,10 May 1898,typescript,8 x 10 in.,"Henderson, D. B.",,Omaha Public Library
TMI04161,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Representative. 1 sheet previously folded in sixths.  Letter.,,1898-05-10,10 May 1898,manuscript,7 15/16 x 10 in.,"Reed, T. B.",,Omaha Public Library
TMI04162,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Representative - Ohio. 1 sheet previously folded in sixths.  Letter.,,1898-05-13,13 May 1898,typescript,8 x 10 9/16 in.,"Bromwell, J. H.",,Omaha Public Library
TMI04163,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Representative. 1 sheet previously folded in thirds.  Letter.,,1898-05-25,25 May 1898,typescript,8 1/8 x 5 1/2 in.,,,Omaha Public Library
TMI04164,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Representative - Nebraska. 1 sheet previously folded in thirds.  Letter.,,1898-05-31,31 May 1898,typescript,8 1/8 x 5 1/2 in.,"Sutherland, R. D.",,Omaha Public Library
TMI04165,RSVP from U.S. Representative of Ohio,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Ohio. 1 sheet previously folded in thirds.  Letter.,,1898-08-23,23 August 1898,typescript,8 1/8 x 5 1/2 in.,"Northway, S. A.",,Omaha Public Library
TMI04166,"RSVP from U.S. Representative of Washington, D.C.",memorabilia,invitations,,,,Government Day Invitations; U. S. Representative. 1 sheet previously folded in thirds.  Letter.,,1898-09-01,1 September 1898,manuscript,5 7/16 x 8 7/8 in.,"Evans, Thomas W.",,Omaha Public Library
TMI04167,RSVP from U.S. Representative of New Jersey,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - New Jersey. 1 sheet previously folded in ninths.  Letter.,,1898-08-25,25 August 1898,typescript,7 15/16 x 10 in.,"Stone, William A.",,Omaha Public Library
TMI04168,RSVP from U.S. Respresentative of Illinois,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Illinois. 1 sheet previously folded in sixths.  Letter.,,1898-08-27,27 August 1898,typescript,7 15/16 x 10 in.,"Boutell, H. T.",,Omaha Public Library
TMI04169,RSVP from U.S. Representative of Nebraksa,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Nebraska. 1 sheet previously folded in sixths.  Letter.,,1898-08-30,30 August 1898,typescript,7 15/16 x 9 13/16 in.,"Strode, J. B.",,Omaha Public Library
TMI04170,RSVP from U.S. Representative of Ohio,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Ohio. 1 sheet previously folded in sixths.  Letter.,,1898-08-23,23 August 1898,typescript,7 15/16 x 10 7/16 in.,"Bromwell, J. H.",,Omaha Public Library
TMI04171,RSVP from U.S. Representative of Pennsylvania,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Pennsylvania. 1 sheet previously folded in sixths.  Letter.,,1898-08-23,23 August 1898,typescript,8 x 10 in.,"Olmsted, M. E.",,Omaha Public Library
TMI04172,RSVP from U.S. Representative of Pennsylvania,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Pennsylvania. 1 sheet previously folded in ninths.  Letter.,,1898-08-26,26 August 1898,typescript,8 x 10 1/8 in.,"Wanger, I. P.",,Omaha Public Library
TMI04173,RSVP from U.S. Representative of Washington,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative. 1 sheet previously folded in sixths.  Letter.,,1898-08-25,25 August 1898,typescript,7 15/16 x 10 7/16 in.,"Lentz, John J.",,Omaha Public Library
TMI04174,RSVP from U.S. Representative of Wisconsin,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Wisconsin. 1 sheet previously folded in sixths.  Letter.,,1898-09-01,1 September 1898,typescript,8 x 10 1/8 in.,"Davidson, J. H.",,Omaha Public Library
TMI04175,RSVP from U.S. Representative of New Jersey,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - New Jersey. 1 sheet previously folded in sixths.  Letter.,,1898-08-31,31 August 1898,typescript,8 x 10 in.,"Pitney, M.",,Omaha Public Library
TMI04176,RSVP from U.S. Representative of Georgia,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Georgia. 1 sheet previously folded in sixths.  Letter.,,1898-09-01,1 September 1898,typescript,7 15/16 x 10 in.,"Brantlef, W. G.",,Omaha Public Library
TMI04177,RSVP from U.S. Representative of South Carolina,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - South Carolina. 1 sheet previously folded in thirds.  Letter.,,1898-09-02,2 September 1898,typescript,8 x 10 1/8 in.,"Wilson, S.",,Omaha Public Library
TMI04178,RSVP from U.S. Representative of of Minnesota,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Minnesota. 1 sheet previously folded in sixths.  Letter.,,1898-09-03,3 September 1898,typescript,8 x 10 1/8 in.,"Morris, R.",,Omaha Public Library
TMI04179,RSVP from U.S. Representative of Michigan,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Michigan. 1 sheet previously folded in sixths.  Letter.,,1898-09-05,5 September 1898,typescript,8 x 10 in.,"Hamilton, E. L.",,Omaha Public Library
TMI04180,RSVP from U.S. Representative of of Alabama,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Alabama. 1 sheet previously folded in sixths.  Letter.,,1898-09-01,1 September 1898,typescript,8 x 10 in.,"Linderwood, O. W.",,Omaha Public Library
TMI04181,RSVP from U.S. Representative of of Tennessee,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Tennessee. 1 sheet previously folded in sixths.  Letter.,,1898-09-04,4 September 1898,typescript,7 15/16 x 9 15/16 in.,"Moon, John A.",,Omaha Public Library
TMI04182,RSVP from U.S. Representative of Pennsylvania,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Pennsylvania. 1 sheet previously folded in sixths. Letter.,,1898-09-02,2 September 1898,typescript,7 15/16 x 10 in.,"Starr, Charles W.",,Omaha Public Library
TMI04183,RSVP from U.S. Representative of North Carolina,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - North Carolina. 1 sheet previously folded in sixths.  Letter.,,1898-09-07,7 September 1898,manuscript,8 x 9 15/16 in.,"White, George H.",,Omaha Public Library
TMI04184,RSVP from U.S. Representative of New Jersey,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - New Jersey. 1 sheet previously folded in sixths.  Letter.,,1898-09-07,7 September 1898,typescript,8 x 10 in.,"Parker, R. Wayne",,Omaha Public Library
TMI04185,RSVP from U.S. Representative of Iowa,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Iowa. 1 sheet previously folded in sixths.  Letter.,,1898-09-13,13 September 1898,typescript,8 1/8 x 10 1/16 in.,"Hepburn, W. P.",,Omaha Public Library
TMI04186,RSVP from U.S. Representative of Nebraska,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Nebraska. 1 sheet previously folded in sixths. Letter.,,1898-09-07,7 September 1898,typescript,8 x 10 in.,"Sutherland, R. D.",,Omaha Public Library
TMI04187,RSVP from U.S. Representative of Iowa,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Iowa. 1 sheet previously folded in sixths.  Letter.,,1898-08-30,30 August 1898,typescript,8 x 10 1/16 in.,"Henderson, D. B.",,Omaha Public Library
TMI04188,RSVP from U.S. Representative of Illinois,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Illinois. 1 sheet previously folded in sixths.  Letter.,,1898-08-31,31 August 1898,typescript,8 1/8 x 10 in.,"Foss, Edward",,Omaha Public Library
TMI04189,RSVP from U.S. Representative of  Utah,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Utah. 1 sheet previously folded in sixths.  Letter.,,1898-09-02,2 September 1898,typescript,8 x 10 1/16 in.,"King, William H.",,Omaha Public Library
TMI04190,RSVP from U.S. Representative of Pennsylvania,memorabilia,invitations,,,,Government Day Invitations; U. S. Representative - Pennsylvania. 1 sheet previously folded in sixths.  Letter.,,1898-08-25,25 August 1898,manuscript,7 15/16 x 9 7/8 in.,"Bingham, Henry H.",,Omaha Public Library
TMI04191,RSVP from U.S. Senator - Nebraska,memorabilia,invitations,,,,Opening Day Invitations; U. S. Senator. 1 sheet previously folded in sixths.  Letter.,,1898-05-11,11 May 1898,typescript,7 7/8 x 10 7/8 in.,,,Omaha Public Library
TMI04192,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Senator. 1 sheet previously folded in half.  Letter.,,1898-05-26,26 May 1898,typescript,4 7/8 x 7 7/8 in.,,,Omaha Public Library
TMI04193,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Senator - Iowa. 1 sheet previously folded in sixths.  Letter.,,1898-05-11,11 May 1898,typescript,8 x 10 1/2 in.,"Allison, W. B.",,Omaha Public Library
TMI04194,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Senator - Iowa. 1 sheet previously folded in sixths.  Letter.,,1898-05-13,13 May 1898,typescript,8 x 10 1/2 in.,"Allison, W. B.",,Omaha Public Library
TMI04195,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Senator. 1 sheet previously folded in sixths. Letter.,,1898-05-11,11 May 1898,typescript,8 x 10 1/2 in.,,,Omaha Public Library
TMI04196,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Senator. 1 sheet previously folded in thirds. Letter.,,1898-05-12,12 May 1898,typescript,7 13/16 x 10 in.,"Trullas, James M.",,Omaha Public Library
TMI04197,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Senator. 1 sheet previously folded in thirds. Letter.,,1898-06-01,1 June 1898,manuscript,8 x 10 1/2 in.,"Mitchell, J. L.",,Omaha Public Library
TMI04198,RSVP from U.S. Senator - Tennessee,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - Tennessee. 1 sheet previously folded in thirds. Letter.,,1898-08-23,23 August 1898,typescript,8 1/2 x 5 1/2 in.,,,Omaha Public Library
TMI04199,RSVP from U.S. Senator,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator. 1 sheet previously folded in sixths.  Letter.,,1898-08-22,22 August 1898,typescript,7 15/16 x 10 1/2 in.,,,Omaha Public Library
TMI04200,RSVP from U.S. Senator - Kansas,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - Kansas. 1 sheet previously folded in sixths.  Letter.,,1898-08-27,27 August 1898,typescript,8 x 10 1/2 in.,"Harris, W. A.",,Omaha Public Library
TMI04201,RSVP from U.S. Senator,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator. 1 sheet previously folded in sixths.  Letter.,,1898-08-28,28 August 1898,manuscript,7 15/16 x 9 15/16 in.,,,Omaha Public Library
TMI04202,RSVP from U.S. Senator - Ohio,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - Ohio. 1 sheet previously folded in sixths.  Letter.,,1898-08-24,24 August 1898,typescript,7 15/16 x 10 7/16 in.,"Hanna, Mark",,Omaha Public Library
TMI04203,RSVP from U.S. Senator - Minnesota,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - Minnesota. 1 sheet previously folded in sixths.  Letter.,,1898-08-23,23 August 1898,typescript,8 x 10 in.,"Nelson, K.",,Omaha Public Library
TMI04204,RSVP from U.S. Senator - Georgia,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - Georgia. 1 sheet previously folded in sixths.  Letter.,,1898-08-25,25 August 1898,typescript,8 x 10 1/2 in.,"Bacon, A. O.",,Omaha Public Library
TMI04205,RSVP from U.S. Senator - Ohio,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - Ohio. 1 sheet previously folded in sixths. Letter.,,1898-08-23,23 August 1898,typescript,7 15/16 x 9 15/16 in.,"Foraker, J. B.",,Omaha Public Library
TMI04206,RSVP from U.S. Senator - South Carolina,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - South Carolina. 1 sheet previously folded in sixths.  Letter.,,1898-08-22,22 August 1898,manuscript,7 15/16 x 10 in.,,,Omaha Public Library
TMI04207,RSVP from U.S. Senator - New York,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - New York. 1 sheet previously folded in sixths.  Letter.,,1898-08-23,23 August 1898,typescript,8 3/16 x 10 7/16 in.,"Platt, T.",,Omaha Public Library
TMI04208,RSVP from U.S. Senator - West Virginia,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - West Virginia. 1 sheet previously folded in sixths.  Letter.,,1898-08-27,27 August 1898,typescript,8 x 10 7/16 in.,,,Omaha Public Library
TMI04209,RSVP from U.S. Senator - California,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - California. 1 sheet previously folded in thirds.  Letter.,,1898-08-26,26 August 1898,typescript,8 x 10 1/2 in.,"Perkins, George C.",,Omaha Public Library
TMI04210,RSVP from U.S. Senator - Connecticut,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - Connecticut. 1 sheet previously folded in sixths.  Letter.,,1898-08-26,26 August 1898,typescript,8 x 10 in.,"Hawley, J. R.",,Omaha Public Library
TMI04211,RSVP from U.S. Senator,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator. 1 sheet previously folded in sixths.  Letter.,,1898-08-24,24 August 1898,typescript,8 x 10 1/2 in.,"Quay, M. S.",,Omaha Public Library
TMI04212,RSVP from U.S. Senator - Idaho,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - Idaho. 1 sheet previously folded in quarters.  Letter.,,1898-08-23,23 August 1898,typescript,8 x 10 1/16 in.,"Shoup, George L.",,Omaha Public Library
TMI04213,RSVP from U.S. Senator - Iowa,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - Iowa. 1 sheet previously folded in sixths. Letter.,,1898-08-20,20 August 1898,typescript,8 x 10 1/2 in.,"Allison, W. B.",,Omaha Public Library
TMI04214,RSVP from U.S. Senator - Maine,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - Maine. 1 sheet previously folded in sixths; lower left corner badly torn.  Letter.,,1898-08-24,24 August 1898,typescript,8 x 10 7/16 in.,"White, William Frye",,Omaha Public Library
TMI04215,RSVP from U.S. House of Representatives,memorabilia,invitations,,,,Opening Day Invitations; U. S. House of Representatives Committee on Ways and Means. 1 sheet previously folded in thirds.  Letter.,,1898-05-13,13 May 1898,typescript,8 x 5 5/8 in.,"Dolliver, J. P.",,Omaha Public Library
TMI04216,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. House of Representatives Committee on Post Office and Post Roads. 1 sheet previously folded in sixths. Letter.,,1898-05-13,13 May 1898,typescript,7 7/8 x 10 in.,"Sperry, N. D.",,Omaha Public Library
TMI04217,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. House of Representatives Committee on Pacific Railroads. 1 sheet previously folded in sixths.  Letter.,,1898-05-10,,typescript,8 x 10 1/2 in.,"Codding, J. H.",,Omaha Public Library
TMI04218,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. House of Representatives Committee on Banking and Currency. 1 sheet previously folded in sixths.  Letter.,,1898-05-13,13 May 1898,typescript,7 7/8 x 10 7/16 in.,"Walker, J. H.",,Omaha Public Library
TMI04219,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. House of Representatives Committee on Naval Affairs. 1 sheet previously folded in thirds.  Letter.,,1898-05-16,,typescript,8 x 10 1/2 in.,"Boutelle, Charles A.",,Omaha Public Library
TMI04220,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. House of Representatives Committee on Railways and Canals. 1 sheet previously folded in thirds.  Letter.,,1898-05-15,15 May 1898,typescript,7 15/16 x 10 1/2 in.,"Belknap, Hugh R.",,Omaha Public Library
TMI04221,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. House of Representatives Committee on Expenditures in the Post Office Department. 1 sheet previously folded in sixths. Letter.,,1898-05-14,14 May 1898,typescript,8 x 10 1/2 in.,"Wanger, I. P.",,Omaha Public Library
TMI04222,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. House of Representatives . 1 sheet previously folded in sixths.Committee on Naval Affairs.  Letter.,,1898-05-11,11 May 1898,typescript,8 x 10 1/2 in.,"Cummings, Amos J.",,Omaha Public Library
TMI04223,RSVP from U.S. House of Representatives Committee on Naval Affairs,memorabilia,invitations,,,,Government Day Invitations; U. S. House of Representatives Committee on Naval Affairs. 1 sheet previously folded in thirds.  Letter.,,1898-08-31,31 August 1898,typescript,7 7/8 x 5 3/16 in.,"Southard, J. H.",,Omaha Public Library
TMI04224,RSVP from U.S. House of Representatives Committee on Foreign Affairs,memorabilia,invitations,,,,Government Day Invitations; U. S. House of Representatives Committee on Foreign Affairs. 1 sheet previously folded in thirds.  Letter.,,1898-08-25,25 August 1898,manuscript,5 7/16 x 9 in.,"Adams,R. Jr.",,Omaha Public Library
TMI04225,RSVP from U.S. House of Representatives Committee on Indian Affairs,memorabilia,invitations,,,,Government Day Invitations; U. S. House of Representatives Committee on Indian Affairs. 1 sheet previously folded in sixths.  Letter.,,1898-08-27,27 August 1898,typescript,8 1/16 x 10 1/2 in.,"Sherman, J. S.",,Omaha Public Library
TMI04226,RSVP from U.S. House of Representatives Committee on Foreign Affairs,memorabilia,invitations,,,,Government Day Invitations; U. S. House of Representatives Committee on Foreign Affairs. 1 sheet previously folded in sixths.  Letter.,,1898-08-31,31 August 1898,typescript,8 x 11 in.,"Smith, W. A.",,Omaha Public Library
TMI04227,RSVP from U.S. House of Representatives Committee on The Merchant Marine and Fisheries,memorabilia,invitations,,,,Government Day Invitations; U. S. House of Representatives Committee on the Merchant Marine and Fisheries. 1 sheet previously folded in sixths.  Letter.,,1898-08-23,23 August 1898,typescript,7 15/16 x 10 1/2 in.,"Payne, S. E.",,Omaha Public Library
TMI04228,RSVP from U.S. House of Representatives Committee on Invalid Pensions,memorabilia,invitations,,,,Government Day Invitations; U. S. House of Representatives Committee on Invalid Pensions. 1 sheet previously folded in sixths.  Letter.,,1898-08-24,24 August 1898,typescript,8 x 10 1/2 in.,"Ray, G. W.",,Omaha Public Library
TMI04229,RSVP from U.S. House of Representatives Committee on Mines and Mining,memorabilia,invitations,,,,Government Day Invitations; U. S. House of Representatives Committee on Mines and Mining. 1 sheet previously folded in sixths.  Letter.,,1898-08-26,26 August 1898,typescript,8 x 10 1/2 in.,"Grosvenor, Charles H.",,Omaha Public Library
TMI04230,RSVP from U.S. House of Representatives Committee on Claims,memorabilia,invitations,,,,Government Day Invitations; U. S. House of Representatives Committee on Claims. 1 sheet previously folded in sixths.  Letter.,,1898-08-29,29 August 1898,typescript,7 15/16 x 10 1/2 in.,"Brumm, Charles N.",,Omaha Public Library
